card_name,match_id,elixir,rarity,is_champion,has_evolution,evolution_tiers,evolution_name,has_hero,hero_tiers,hero_name,roles,role_confidence,notes
Mighty Miner,26000065.0,4.0,Champion,True,False,0,,False,0,,win_condition;tank_killer;tank,confirmed,Champion that digs to swap lanes; ramping damage melts tanks
Miner,26000032.0,3.0,Legendary,False,False,0,,False,0,,win_condition,confirmed,"Tunnels to any tile for guaranteed, unpredictable tower chip damage"
Mini P.E.K.K.A,26000018.0,4.0,Rare,False,False,0,,True,2,Hero Mini P.E.K.K.A,tank_killer;mini_tank,confirmed,"Slow single-target melee; melts tanks, can briefly front-tank"
Minion,26000005.0,3.0,Common,False,False,0,,False,0,,flying;air_defense;support_ranged,confirmed,"3 flying gargoyles, short-range, hit air and ground"
Minion Horde,26000022.0,5.0,Common,False,True,1,Minion Horde (Evolved),False,0,,flying;air_defense;bait,confirmed,"6 flying minions, huge DPS; explicitly a multi-spell bait card"
Mirror,28000006.0,,Epic,False,False,0,,False,0,,spell_utility,confirmed,Replays player's last card at +1 elixir and +1 level
Monk,26000077.0,5.0,Champion,True,False,0,,False,0,,mini_tank,unconfirmed,"Melee Champion reflects projectile spells, decently tanky frontline unit"
Mortar,27000002.0,4.0,Common,False,True,1,Mortar (Evolved),False,0,,win_condition;swarm_clear,confirmed,Long-range splash siege building; chip-damage win condition
Mother Witch,26000083.0,4.0,Legendary,False,False,0,,False,0,,support_ranged;air_defense;swarm_clear,confirmed,4-elixir ranged support hitting air/ground; curses foes into Hogs
Musketeer,26000014.0,4.0,Rare,False,True,3,Musketeer (Evolved),True,3,Hero Musketeer,support_ranged;air_defense,confirmed,"Versatile ranged single-target DPS support troop, hits air+ground"
Night Witch,26000048.0,4.0,Legendary,False,False,0,,False,0,,spawner;mini_tank;air_defense,confirmed,Melee troop periodically spawning Bats (hit air too); solid mini-tank support
P.E.K.K.A,26000004.0,7.0,Epic,False,True,1,P.E.K.K.A (Evolved),False,0,,tank;tank_killer,confirmed,High-HP frontline tank and specialist tank-killer vs heavy tanks
Phoenix,26000087.0,4.0,Legendary,False,False,0,,False,0,,flying;air_defense,confirmed,"Flying troop hits air+ground, respawns from egg after death"
Poison,28000009.0,4.0,Epic,False,False,0,,False,0,,swarm_clear;spell_big,confirmed,"4-elixir area spell, damage over 8s, slows enemies 15%"
Prince,26000016.0,5.0,Epic,False,False,0,,False,0,,win_condition;mini_tank;tank_killer,confirmed,Charging deals double damage; mini-tank/tank-killer win condition
Princess,26000026.0,3.0,Legendary,False,True,1,Princess (Evolved),False,0,,bait;support_ranged;air_defense,confirmed,"Very long range splash siege/bait unit, baits Log/Zap"
Rage,28000002.0,2.0,Epic,False,False,0,,False,0,,spell_utility,confirmed,2-elixir potion buffs ally speed/attack speed 30%
Ram Rider,26000051.0,5.0,Legendary,False,False,0,,False,0,,win_condition;building_targeted_only,confirmed,Building-only charger troop; primary win condition
Rascals,26000053.0,5.0,Common,False,False,0,,False,0,,mini_tank;support_ranged;bait,confirmed,Boy mini-tanks while two Rascal Girls give ranged support; often baits spells
Rocket,28000003.0,6.0,Rare,False,False,0,,False,0,,spell_big,confirmed,"6-elixir spell, highest dmg/elixir vs towers, finishes weak towers"
Ronin,26000106.0,5.0,Legendary,False,False,0,,False,0,,mini_tank;tank_killer,confirmed,"New Season 85 card; parries melee hits back doubled; fronts pushes, melts tanks"
Royal Chef,,0.0,Legendary,False,False,0,,False,0,,,confirmed,"Tower Troop (King Tower skin), not a deck card"
Royal Delivery,28000018.0,3.0,Common,False,False,0,,False,0,,spell_small;swarm_clear;mini_tank,confirmed,"3-elixir spell hits troops, then drops a Royal Recruit mini-tank"
Royal Ghost,26000050.0,3.0,Legendary,False,True,1,Royal Ghost (Evolved),False,0,,mini_tank;swarm_clear,confirmed,"Invisible melee troop; area damage tanks briefly, wipes grouped enemies"
Royal Giant,26000024.0,6.0,Common,False,True,1,Royal Giant (Evolved),False,0,,win_condition;building_targeted_only,confirmed,"6-elixir ranged, building-only win condition that outranges defenses"
Royal Hogs,26000059.0,5.0,Rare,False,True,1,Royal Hogs (Evolved),False,0,,win_condition;building_targeted_only,confirmed,"4 fast hogs, building-only targeting, jump river"
Royal Recruits,26000047.0,7.0,Common,False,True,1,Royal Recruits (Evolved),False,0,,win_condition;mini_tank,confirmed,Six shielded troops split both lanes; alternate win condition
Rune Giant,26000101.0,4.0,Epic,False,False,0,,False,0,,win_condition;tank;building_targeted_only,confirmed,Building-only Giant variant that buffs two nearby troops' damage
Skeleton,26000010.0,1.0,Common,False,True,1,Skeleton (Evolved),False,0,,cycle,confirmed,"1-elixir distraction/cycle troop, easily cycles decks fast"
Skeleton Army,26000012.0,3.0,Epic,False,True,1,Skeleton Army (Evolved),False,0,,bait,confirmed,15 skeletons; classic bait for opponent's Zap/Log/Arrows
Skeleton Barrel,26000056.0,3.0,Common,False,True,1,Skeleton Barrel (Evolved),False,0,,win_condition;building_targeted_only;flying,confirmed,"Airborne, building-only win condition chipping towers"
Skeleton Dragons,26000080.0,4.0,Common,False,False,0,,False,0,,flying;swarm_clear;bait,confirmed,"Two flying splash troops, strong vs swarms, often bait spells"
Skeleton King,26000069.0,4.0,Champion,True,False,0,,False,0,,tank;spawner;swarm_clear,confirmed,Champion tank with splash attacks; ability spawns skeleton swarms
Sparky,26000033.0,6.0,Legendary,False,False,0,,False,0,,tank_killer;swarm_clear,confirmed,Huge splash-radius shot melts tanks and wipes groups
Spear Goblin,26000019.0,2.0,Common,False,False,0,,False,0,,cycle;bait;support_ranged,confirmed,Cheap ranged support/cycle card; commonly baits Zap or Log
Spirit Empress,28000025.0,6.0,Legendary,False,False,0,,False,0,,flying;support_ranged,confirmed,Dual-mode Legendary: cheap ground melee or costlier flying ranged support
Suspicious Bush,26000097.0,2.0,Rare,False,False,0,,False,0,,building_targeted_only;cycle;bait,confirmed,"Invisible 2-elixir troop targets buildings, spawns Goblins, baits spells"
Tesla,27000006.0,4.0,Common,False,True,1,Tesla (Evolved),False,0,,air_defense;tank_killer,confirmed,"Hidden building; hits air+ground, strong sustained DPS vs tanks/mini-tanks"
The Log,28000011.0,2.0,Legendary,False,False,0,,False,0,,spell_small;swarm_clear,confirmed,2-elixir rolling knockback spell; clears ground swarms cheaply
Three Musketeers,26000028.0,9.0,Rare,False,False,0,,False,0,,win_condition;support_ranged,confirmed,"9-elixir triple ranged troop, split-lane pressure win condition"
Tombstone,27000009.0,3.0,Rare,False,False,0,,True,2,Hero Tombstone,spawner,confirmed,"Building passively spawns Skeletons every 3.5s, more on death"
Tornado,28000012.0,3.0,Epic,False,False,0,,False,0,,spell_utility,confirmed,Pulls troops to a point with minor dmg; anti-swarm utility spell
Tower Princess,,0.0,Common,False,False,0,,False,0,,,confirmed,"Tower Troop (King Tower skin), not a deck card"
Valkyrie,26000011.0,4.0,Rare,False,True,3,Valkyrie (Evolved),True,3,Hero Valkyrie,mini_tank;swarm_clear,confirmed,360 spin splash; mini-tank that shreds Skeleton Army/Goblin Gang
Vines,28000026.0,3.0,Epic,False,False,0,,False,0,,spell_small;spell_utility,confirmed,"3-elixir spell roots up to 3 high-HP targets, deals damage over time"
Void,28000023.0,3.0,Epic,False,False,0,,False,0,,spell_small,confirmed,"3-elixir spell, max damage vs one target, weak vs swarms"
Wall Breakers,26000058.0,2.0,Epic,False,True,1,Wall Breakers (Evolved),False,0,,win_condition;building_targeted_only;cycle,confirmed,Only troop that solely targets buildings; 2-elixir immediate threat
Witch,26000007.0,5.0,Epic,False,True,1,Witch (Evolved),False,0,,spawner;air_defense;support_ranged,confirmed,Spawns 4 Skeletons every 7s; splash troop hitting air and ground
Wizard,26000017.0,5.0,Rare,False,True,3,Wizard (Evolved),True,3,Hero Wizard,swarm_clear;air_defense,confirmed,"Premier splash trooper; melts swarms and support troops, hits air"
X-Bow,27000008.0,6.0,Epic,False,False,0,,False,0,,win_condition,confirmed,Long-range siege building chips tower from own territory
Zap,28000008.0,2.0,Common,False,True,1,Zap (Evolved),False,0,,spell_small;swarm_clear,confirmed,"2-elixir instant stun/damage; kills small swarms, resets Inferno/Sparky"
Zappies,26000052.0,4.0,Rare,False,False,0,,False,0,,air_defense;support_ranged,confirmed,Ranged troop that stuns; targets air and ground for defense/support
Minion Giant,26000107,4,Rare,False,False,0,,False,0,,,,Auto-detected 2026-09-07 from the live API -- verify Type/roles manually
